60	3	
-14.0166	18.7287	0
-12.539	23.5054	0
-10.0498	28.6266	0
-6.3622	33.9609	0
-1.2891	39.3277	0
5.3495	44.4914	0
13.715	49.156	0
23.9381	52.96	0
36.1033	55.4742	0
50.2317	56.2007	0
66.2607	54.5753	0
84.0223	49.974	0
13.4807	19.118	0
18.4802	19.1888	0
24.12	18.404	0
30.3327	16.5453	0
37.0045	13.3789	0
43.967	8.6609	0
50.9883	2.1463	0
57.7653	-6.4009	0
63.9157	-17.1938	0
68.9725	-30.4062	0
72.3799	-46.1529	0
73.4925	-64.4672	0
22.3481	-6.9131	0
23.9603	-11.646	0
24.9567	-17.2523	0
25.1089	-23.7353	0
24.1591	-31.0591	0
21.8236	-39.1387	0
17.7975	-47.8295	0
11.7628	-56.916	0
3.3987	-66.1006	0
-7.6044	-74.9927	0
-21.5274	-83.0994	0
-38.6015	-89.8169	0
0.3312	-23.3906	0
-3.6719	-26.3865	0
-8.6959	-29.0665	0
-14.8145	-31.2146	0
-22.0734	-32.5744	0
-30.4793	-32.85	0
-39.9889	-31.7066	0
-50.4955	-28.7751	0
-61.8152	-23.6586	0
-73.6722	-15.9418	0
-85.6846	-5.2053	0
-97.3495	8.9572	0
-22.1434	-7.5431	0
-26.2297	-4.6617	0
-30.3311	-0.7118	0
-34.2648	4.4436	0
-37.8012	10.927	0
-40.6608	18.8363	0
-42.512	28.2338	0
-42.9707	39.132	0
-41.6026	51.4788	0
-37.9276	65.1401	0
-31.4285	79.8823	0
-21.5638	95.3528	0
