-0.262309 -3.66543e-09                  
0.2241 -7.5493e-09                      
0.362937 -8.24755e-09                   
-0.263083 -3.78076e-09                  
0.258512 -7.52631e-09                   
0.187915 -7.743e-09                     
-0.0455931 -5.8825e-09                  
-0.179298 -6.73431e-09                  
0.913717 -1.37561e-08
0.189467 -8.44867e-09
-0.157452 -6.45972e-09
0.0485055 -6.36833e-09
0.340821 -9.48405e-09
-0.543661 -4.35836e-09
0.0509278 -7.73091e-09
-0.823908 -1.40364e-09
-0.473085 -1.05422e-09
-0.458951 -3.23424e-10
-0.00344367 -3.77257e-08
1.25167 -4.48035e-08
0.496974 -8.10528e-09
-0.821889 1.64725e-09
-0.210361 -4.42725e-09
-0.246088 -3.53115e-08
-0.189749 2.7122e-10
0.167586 4.72421e-09
-2.14389 1.33493e-08
4.2118 -6.22048e-08
0 0
2.75715 2.44939e-08
-0.880114 4.39254e-09
0.473338 -3.5336e-08
0.229749 -2.60013e-08
-0.228888 -3.13136e-08
1.34306 -3.49655e-08
0.93637 -3.10236e-08
-1.39381 -2.03501e-08
1.09953 -3.62863e-08
0.669125 -3.3523e-08
-2.38367 -1.67898e-08
-2.06224 -1.6806e-08
-1.12016 -2.04423e-08
-0.392073 -2.54788e-08
-0.0983008 -2.82694e-08
-0.36873 -2.65871e-08
0.041721 -2.79611e-08
-0.19263 -2.7036e-08
-0.624786 -2.54877e-08
