#HV (volts)	Det:	1	2	3	4	5	6	7	8
1200			-	257	255	346	150	145	240	160
1300			245	392	375	526	150	180	250	161
1400			275	565	446	786	160	130	-	-
1500			357	848	663	1242	200	127	270	184
