1 195580 1271341651 85231515 1258 9 298 6 6 1
25 195502 1271341651 85231563 2718 12 583 7 8 4
35 195416 1271341651 85231534 2117 10 596 7 8 1
57 195347 1271341651 85231491 1735 9 305 5 6 1
73 195269 1271341651 85231505 1530 8 357 5 6 2
89 195189 1271341651 85231523 2738 12 519 8 8 2
13 195571 1271341651 85231491 1495 7 387 6 6 1
19 195494 1271341651 85231560 1591 7 454 8 8 2
63 195329 1271341651 85231478 1660 7 384 6 7 2
66 195262 1271341651 85231485 1793 9 376 5 6 2
83 195180 1271341651 85231555 3793 14 566 6 7 1
14 195567 1271341651 85231501 963 7 269 5 6 1
51 195338 1271341651 85231564 2906 9 534 8 9 1
77 195257 1271341651 85231566 2109 8 472 7 8 2
85 195175 1271341651 85231550 1123 7 345 7 7 1
15 195566 1271341651 85231545 1812 7 411 6 7 2
61 195335 1271341651 85231528 1999 7 565 9 9 1
71 195250 1271341651 85231883 2235 8 466 9 9 2
94 195173 1271341651 85231522 1573 9 295 5 6 1
7 195563 1271341651 85231539 2712 12 636 7 7 1
87 195169 1271341651 85231533 2566 8 592 8 9 1
8 205753 1271341651 95644427 3939 17 409 5 6 1
24 205674 1271341651 95644716 21162 29 1921 10 15 1
40 205596 1271341651 95644687 12493 16 1813 13 16 6
56 205517 1271341651 95644440 2714 11 501 7 7 1
72 205440 1271341651 95644699 13613 34 1039 6 10 2
88 205360 1271341651 95644410 4415 15 564 7 8 2
1 205749 1271341651 95644446 5678 17 768 6 7 1
25 205671 1271341651 95644452 4974 18 764 5 6 1
41 205594 1271341651 95644426 7244 16 1021 9 11 1
57 205516 1271341651 95644437 4327 15 545 5 6 3
73 205438 1271341651 95644442 4050 14 822 6 6 1
89 205358 1271341651 95644199 1514 7 330 6 6 1
11 205746 1271341651 95644423 7357 19 783 6 8 3
16 205670 1271341651 95644447 1142 7 265 6 6 1
32 205593 1271341651 95644428 3801 15 495 6 7 10
48 205514 1271341651 95644466 1326 9 286 5 6 1
64 205437 1271341651 95644414 4393 16 594 6 7 1
80 205358 1271341651 95644726 16604 29 1521 7 11 1
13 205740 1271341651 95644428 7207 16 1120 6 7 2
19 205663 1271341651 95644444 6693 19 925 6 8 2
35 205585 1271341651 95644421 6430 20 945 5 7 1
63 205498 1271341651 95644416 8147 19 866 6 8 2
66 205431 1271341651 95644418 8127 18 1211 5 7 3
95 205341 1271341651 95644456 2749 11 621 9 9 2
6 205733 1271341651 95644431 3404 13 492 5 6 1
21 205657 1271341651 95644448 6064 18 890 6 8 3
37 205580 1271341651 95644419 6529 16 896 9 11 1
55 205495 1271341651 95644450 4038 15 506 8 9 6
78 205423 1271341651 95644717 19616 36 1429 7 12 1
86 205340 1271341651 95644698 26712 44 1921 10 16 1
30 205657 1271341651 95644709 13252 25 1690 12 15 7
46 205579 1271341651 95644713 17552 25 1592 7 11 4
79 205421 1271341651 95644456 4912 17 679 6 7 2
31 205654 1271341651 95644439 5164 15 620 8 9 1
47 205577 1271341651 95644451 5934 17 654 6 8 1
70 205420 1271341651 95644693 8324 18 850 7 9 1
22 205654 1271341651 95644715 23291 40 1641 7 13 4
38 205575 1271341651 95644424 3361 14 474 6 7 7
23 205651 1271341651 95644456 3439 9 879 10 10 1
39 205574 1271341651 95644422 7503 16 1017 13 15 1
14 210228 1271341651 100244466 5780 15 935 5 6 10
83 209842 1271341651 100244490 2912 18 430 5 5 9
8 235217 1271341651 125814915 17422 25 2031 5 9 10
24 235137 1271341651 125814944 9901 21 1580 9 11 2
40 235059 1271341651 125814919 4605 9 1069 12 13 13
56 234981 1271341651 125814926 9837 26 1054 6 8 11
72 234903 1271341651 125814934 1576 8 296 6 6 7
88 234824 1271341651 125814900 28398 36 2047 7 14 14
1 235213 1271341651 125814936 15348 26 2047 6 9 14
25 235135 1271341651 125814948 9193 19 2047 7 8 12
41 235058 1271341651 125814915 29614 37 2047 9 16 9
57 234980 1271341651 125814928 6765 20 892 5 6 10
73 234902 1271341651 125814929 21147 37 1826 5 10 72
89 234822 1271341651 125814896 33675 40 2047 6 14 55
11 235210 1271341651 125814913 28839 38 2047 6 13 10
16 235134 1271341651 125814933 5798 22 1049 6 7 6
32 235057 1271341651 125814916 15120 25 1938 5 9 7
48 234978 1271341651 125814950 7913 24 1173 6 7 6
64 234901 1271341651 125814910 14094 29 2031 6 10 11
80 234821 1271341651 125814952 9982 24 1142 6 8 4
13 235204 1271341651 125814915 30614 38 2047 5 12 12
19 235127 1271341651 125814934 21068 38 2047 6 11 13
35 235049 1271341651 125814912 17116 25 2047 6 10 7
51 234971 1271341651 125814945 16851 25 1801 7 11 7
66 234895 1271341651 125814907 31340 40 2047 5 12 59
85 234808 1271341651 125814932 5656 22 552 5 6 6
14 235200 1271341651 125814923 4642 10 1241 5 6 12
21 235121 1271341651 125814940 14649 23 2047 7 10 11
37 235044 1271341651 125814911 20511 35 2047 10 14 9
61 234968 1271341651 125814907 13831 24 1722 7 10 10
77 234890 1271341651 125814942 23735 36 2047 6 11 28
95 234805 1271341651 125814940 21630 30 2047 8 13 13
15 235199 1271341651 125814918 25359 40 2047 5 11 27
30 235120 1271341651 125814932 5041 14 1385 10 11 4
46 235042 1271341651 125814943 6958 22 1075 6 7 6
62 234964 1271341651 125814906 24492 36 2047 5 11 10
78 234886 1271341651 125814948 6281 24 872 6 7 6
86 234803 1271341651 125814921 7799 20 848 7 9 6
