Name    RA               DEC           DirType
A       D                D             A
Crab    83.633212deg     22.014460deg  J2000
3C123   69.2682292deg    29.6705167deg J2000
3C157   94.5107deg       22.6599deg    J2000
M87     187.7059304deg   12.3911231deg J2000
HerculesA 252.783945deg  4.992588deg   J2000
3C353   260.117325deg    -0.979522deg  J2000
CygA    299.8681466deg   40.7338585deg J2000
CasA   350.85583deg     58.81056deg   J2000
