                   tem002   tem060   tem130   tem200   global   reflex   bilanz
27.04.2006 13:50   15.532   14.503   13.773   13.360  152.640   25.157   91.281
27.04.2006 14:00   15.143   14.379   13.711   13.287  104.416   16.820   60.217
27.04.2006 14:10   14.935   14.312   13.697   13.281   73.119   11.252   39.886
27.04.2006 14:20   14.809   14.294   13.649   13.238   51.691    7.729   25.789
27.04.2006 14:30   14.762   14.187   13.521   13.157   92.875   14.641   53.923
27.04.2006 14:40   14.719   14.108   13.424   13.058  113.060   18.163   67.639
27.04.2006 14:50   14.520   13.903   13.262   12.903   75.174   12.055   41.651
27.04.2006 15:00   14.293   13.737   13.096   12.806   71.884   11.232   39.781
27.04.2006 15:10   14.189   13.585   12.995   12.675   60.051    9.440   32.473
27.04.2006 15:20   14.022   13.573   13.052   12.721   45.960    7.132   22.200
27.04.2006 15:30   13.983   13.544   13.015   12.674   47.256    7.511   23.408
27.04.2006 15:40   13.934   13.595   13.072   12.749   34.627    5.668   14.620
27.04.2006 15:50   13.941   13.620   13.089   12.794   38.480    6.368   17.487
27.04.2006 16:00   13.899   13.574   13.063   12.725   38.825    6.557   18.137
27.04.2006 16:10   13.780   13.261   12.666   12.298   31.994    5.702   13.579
27.04.2006 16:20   13.567   12.963   12.310   11.987   46.601    8.286   23.419
27.04.2006 16:30   13.520   12.910   12.280   11.906   47.611    8.610   24.014
27.04.2006 16:40   13.374   12.809   12.243   11.821   50.901    9.096   26.922
27.04.2006 16:50   13.365   12.742   12.182   11.815   47.487    8.408   22.292
27.04.2006 17:00   13.314   12.728   12.166   11.872   49.926    8.742   20.842
27.04.2006 17:10   13.390   12.853   12.313   11.980   38.839    6.702   16.893
27.04.2006 17:20   13.436   12.940   12.375   12.002   27.354    4.745   10.543
27.04.2006 17:30   13.382   12.909   12.327   11.962   23.760    4.033    9.140
27.04.2006 17:40   13.359   12.785   12.174   11.810   30.371    5.268   13.425
27.04.2006 17:50   13.356   12.710   12.083   11.730   25.249    4.424   10.240
27.04.2006 18:00   13.326   12.767   12.161   11.823   17.948    3.137    5.235
27.04.2006 18:10   13.248   12.811   12.190   11.832   14.803    2.628    3.049
27.04.2006 18:20   13.295   12.811   12.176   11.824   21.664    3.817    7.666
27.04.2006 18:30   13.376   12.799   12.154   11.801   18.501    3.324    5.999
27.04.2006 18:40   13.335   12.790   12.134   11.776   22.364    4.100    7.518
27.04.2006 18:50   13.335   12.775   12.125   11.766   13.088    2.443    2.514
27.04.2006 19:00   13.277   12.728   12.084   11.744   12.507    2.338    0.811
27.04.2006 19:10   13.314   12.713   12.059   11.709    8.540    1.637   -1.255
27.04.2006 19:20   13.168   12.658   11.985   11.626    2.842    0.667   -4.096
27.04.2006 19:30   13.113   12.588   11.926   11.563    1.606    0.369   -4.452
27.04.2006 19:40   13.020   12.522   11.844   11.478    0.391    0.107   -4.932
27.04.2006 19:50   12.968   12.423   11.745   11.388   -0.294   -0.035   -5.959
27.04.2006 20:00   12.820   12.332   11.667   11.267   -1.317   -0.057   -6.430
27.04.2006 20:10   12.848   12.304   11.666   11.315   -1.369   -0.095   -6.008
27.04.2006 20:20   12.807   12.293   11.663   11.337   -0.863   -0.087   -5.686
27.04.2006 20:30   12.755   12.298   11.643   11.303   -0.738   -0.119   -5.589
27.04.2006 20:40   12.635   12.197   11.520   11.192   -1.086   -0.177   -6.009
27.04.2006 20:50   12.542   12.085   11.448   11.115   -1.667   -0.102   -6.651
27.04.2006 21:00   12.518   12.044   11.456   11.157   -1.842   -0.069   -6.824
27.04.2006 21:10   12.486   12.171   11.587   11.304   -1.689   -0.071   -6.819
27.04.2006 21:20   12.588   12.237   11.620   11.321   -1.431   -0.004   -6.634
27.04.2006 21:30   12.689   12.237   11.605   11.284   -1.123    0.024   -6.221
27.04.2006 21:40   12.529   12.170   11.530   11.222   -1.142   -0.071   -6.407
27.04.2006 21:50   12.467   12.141   11.496   11.192   -0.998   -0.114   -6.299
