103.827 54.141 3C171  NONE
105.588 37.994 3C173  NONE
105.537 25.227 3C172  B0626+24
107.397 75.121 3C173.1  B0809+74,B0643+80,B0841+80
108.260 11.786 3C175  B0656+14,J0711+0931
108.577 15.513 3C175.1  B0656+14,J0711+0931
111.150 15.485 3C177  J0751+1807,B0656+14,J0711+0931
111.773 -2.085 3C180  NONE
112.042 14.647 3C181  J0751+1807,B0656+14,J0711+0931
114.990 70.219 3C184  B0809+74,B0655+64
115.866 80.383 3C184.1  B0809+74,B0643+80,B0841+80
116.103 37.963 3C186  B0751+32
116.257 01.778 3C187  NONE
120.419 14.311 3C190  J0751+1807,J0815+0939
121.202 10.251 3C191  B0834+06,J0751+1807,J0815+0939
121.400 24.173 3C192  B0823+26,J0751+1807,B0751+32
122.519 42.467 3C194  NONE
123.407 48.224 3C196  NONE
123.966 -2.954 3C196.1  B0820+02
125.469 46.540 3C197.1  NONE
125.631 05.957 3C198  B0834+06,B0820+02,J0815+0939,J0843+0719
126.850 29.301 3C200  B0823+26,B0751+32
129.361 65.359 3C204  B0917+63
129.848 57.657 3C205  B0917+63
130.239 12.621 3C207  B0834+06,J0815+0939,J0843+0719
133.289 13.860 3C208  B0834+06,J0843+0719
133.693 14.509 3C208.1  J0843+0719
134.551 27.864 3C210  B0823+26,J0927+23
134.691 14.222 3C212  J0843+0719
135.280 29.023 3C213.1  B0823+26,J0927+23
136.634 16.757 3C215  B0940+16,J0927+23
137.268 37.864 3C217  NONE
137.399 42.906 3C216  NONE
140.289 45.645 3C219  NONE
143.286 79.979 3C220.1  B0809+74,B1322+83,B0643+80,B0841+80
142.727 35.880 3C220.2  J0947+27
145.117 83.575 3C220.3  B1322+83,B0643+80,B0841+80
144.132 04.424 3C222  B0950+08,B0919+06,B0943+10
144.979 35.906 3C223  J0947+27
145.357 39.705 3C223.1  NONE
145.580 13.838 3C225  B0950+08,B0919+06,B0940+16,B0943+10
146.089 09.853 3C226  B0950+08,B0919+06,B0940+16,B0943+10
146.940 07.424 3C227  B0950+08,B0919+06,B0943+10
147.533 14.266 3C228  B0950+08,B0940+16,J0943+22,B0943+10
147.998 -0.027 3C230  B0950+08,J1023+0038
148.874 69.846 3C231  B0809+74,B0917+63
150.456 28.785 3C234  J0943+22,J0947+27
151.509 34.806 3C236  J0947+27
152.001 07.487 3C237  B0950+08,J1022+1001,B0943+10,J1023+0038
152.751 06.445 3C238  B0950+08,J1022+1001,B0943+10,J1023+0038
152.976 46.420 3C239  J1012+5307
155.479 21.946 3C241  J0943+22
158.436 58.442 3C244.1  J1012+5307
160.723 12.104 3C245  J1022+1001
164.750 43.032 3C247  B1112+50
165.543 -1.269 3C249  J1046+0304,J1038+0032
166.001 77.231 3C249.1  B1322+83,B0841+80
167.219 24.981 3C250  NONE
167.925 35.628 3C252  NONE
168.665 40.627 3C254  NONE
169.897 -2.790 3C255  NONE
170.181 23.484 3C256  B1133+16
170.824 05.592 3C257  NONE
171.206 19.375 3C258  B1133+16
174.929 65.840 3C263  NONE
175.857 22.132 3C263.1  B1133+16
176.280 19.596 3C264  B1133+16
176.371 31.561 3C265  NONE
176.438 49.761 3C266  B1112+50
177.502 12.889 3C267  B1133+16
180.119 73.122 3C268.1  NONE
180.246 31.520 3C268.2  NONE
181.677 64.522 3C268.3  NONE
182.317 43.669 3C268.4  NONE
184.798 05.837 3C270  NONE
185.145 33.656 3C270.1  NONE
186.126 42.106 3C272  NONE
186.280 12.823 3C272.1  B1257+12
187.272 02.067 3C273  NONE
187.708 12.392 3C274  B1257+12
188.863 21.326 3C274.1  B1237+25,J1246+22,J1238+21,J1308+2127
190.599 -4.924 3C275  B1254-10
190.992 16.436 3C275.1  B1237+25,J1246+22,B1257+12,J1238+21,B1310+18,J1308+2127
192.935 50.597 3C277  NONE
193.120 56.929 3C277.1  NONE
193.386 15.529 3C277.2  J1246+22,B1257+12,J1313+0931,J1238+21,B1310+18,J1308+2127
193.556 27.616 3C277.3  B1237+25,J1246+22,J1238+21,J1308+2127
194.246 47.332 3C280  NONE
195.139 40.118 3C280.1  NONE
197.777 27.435 3C284  B1237+25,J1246+22,J1342+2822D,J1342+2822C,J1342+2822B,J1342+2822A,J1308+2127
200.335 42.600 3C285  NONE
202.661 25.169 3C287  B1310+18,J1342+2822D,J1342+2822C,J1342+2822B,J1342+2822A,J1308+2127
202.786 30.503 3C286  J1342+2822D,J1342+2822C,J1342+2822B,J1342+2822A
203.224 02.065 3C287.1  J1313+0931
204.706 38.813 3C288  NONE
205.633 59.949 3C288.1  NONE
206.367 49.765 3C289  NONE
208.074 31.409 3C293  J1342+2822D,J1342+2822C,J1342+2822B,J1342+2822A
208.689 16.455 3C293.1  NONE
211.687 34.296 3C294  J1342+2822D,J1342+2822C,J1342+2822B,J1342+2822A
212.837 52.232 3C295  NONE
214.214 08.286 3C296  NONE
214.339 -4.197 3C297  NONE
214.785 06.462 3C298  NONE
215.279 41.749 3C299  NONE
215.750 19.620 3C300  J1453+1902
217.170 -1.623 3C300.1  NONE
220.759 52.084 3C303  B1508+55,J1518+4904
220.870 76.990 3C303.1  B1322+83
222.304 63.344 3C305  B1508+55
221.946 76.693 3C305.1  B1322+83
223.841 -4.002 3C306.1  B1516+02B,J1518+0204E,J1518+0204D,J1518+0204C,B1516+02A
224.938 72.503 3C309.1  NONE
226.250 26.028 3C310  B1530+27,J1453+1902,J1503+2111
227.748 07.830 3C313  B1541+09,B1534+12,B1516+02B,J1518+0204E,J1518+0204D,J1518+0204C,B1516+02A
227.736 71.113 3C314.1  NONE
228.419 26.109 3C315  B1530+27,J1453+1902,J1503+2111
229.188 07.004 3C317  B1541+09,B1534+12,B1516+02B,J1518+0204E,J1518+0204D,J1518+0204C,B1516+02A
230.026 20.280 3C318  B1530+27,J1453+1902,J1503+2111,J1549+2113
230.461 07.660 3C318.1  B1541+09,B1534+12,B1516+02B,J1518+0204E,J1518+0204D,J1518+0204C,B1516+02A
231.037 54.474 3C319  B1508+55,J1518+4904
232.885 35.714 3C320  B1530+27,J1605+3249
232.960 24.041 3C321  B1530+27,J1503+2111,J1549+2113
233.842 55.919 3C322  B1508+55,J1518+4904
235.478 60.142 3C323  B1508+55
236.937 20.902 3C323.1  B1530+27,J1549+2113
